Company Name,Rating,Job Title,Location
Silber Salon,3.2,Data Analyst (m/f/d) Werkstudent,Berlin
Gehrke econ,3.7,Data Analyst (m/w/d),Isernhagen
Zschimmer & Schwarz,3.9,Data Analyst / Controlling (m/f/d),Lahnstein
AMENO GmbH,4.3,Data Analyst (m/w/d),Braunschweig
Gewo Feinmechanik GmbH,4.7,Data Analyst (m/w/d),Germany
French German Recruitment Ltd.,4.5,Finance Manager (m/w/d),Berlin
Temedica,3.3,(Senior) Data Analyst (f/d/m),Munich
Lowell Group,4.3,(Junior) Data Quality Analyst (m/w/d),Essen
ALDI SÜD,4.7,Data and Reporting Analyst - Test Management (m/f/x),Mülheim an der Ruhr
Statista GmbH,3.9,(Junior) Analyst Focus: US-Market (m/f/d),Hamburg
Janado GmbH,4.6,DATA ANALYST - DATEN SPEZIALIST (W/M/D),Düsseldorf
ZSCHIMMER & SCHWARZ GmbH,3.5,Data Analyst / Controlling (m/f/d),Koblenz
TLGG,4.7,Social Media Data Analyst (f/m/d),Berlin
univativ GmbH,4.0,Machine Learning Data Analyst (m/w/d),Frankfurt am Main
Redcare Pharmacy,4.4,Data Engineer (m/f/d),Köln
DENSO AUTOMOTIVE Deutschland GmbH,3.7,Data Management / Data Analyst (m/f/d) - InforLN,Eching
CWS International GmbH,3.5,Junior Data Analyst (m/w/d),Duisburg
Cubic Corporation,2.9,Data Analyst,Hamburg
Schülerhilfe GmbH & Co. KG,4.7,Digital Marketing Manager / Data Analyst (m/w/d),Gelsenkirchen
Volkswagen Group Services GmbH,4.0,Data Analyst (w/m/d),Wolfsburg
Stadtwerke Wolfsburg AG,3.9,Data Analyst (m/w/d),Wolfsburg
ZENJOB,4.1,Staff Data Analyst (f/m/d),Berlin
Houlihan Lokey,3.3,Financial Analyst - Financial Restructuring,Frankfurt am Main
New Work Personaldienstleistungs GmbH,3.2,Data Scout Analyst (m/w/d),Kaiserslautern
EnBW Energie Baden-Württemberg AG,4.0,Manager Data Excellence (w/m/d),Karlsruhe
Smart Pricer GmbH,4.0,Junior Data Analyst:in (m/w/d),Berlin
Deichmann,4.1,Data Analyst (m/w/d),Mülheim an der Ruhr
Steadforce,3.4,IT Consultant (m/w/d) im Bereich Softwareentwicklung,Munich
The Information Lab Deutschland GmbH,5.0,"Data Analyst (m/w/d) - The Data School Deutschland, Hamburg",Hamburg
Mabanaft GmbH & Co. KG,3.5,Business Analyst (m/w/d) in Hamburg,Lower Saxony
Gambio GmbH,3.6,Data Analyst (m/w/d),Krefeld
kohlpharma,4.2,Data Analyst (m/w/d) Einkauf,Merzig
Workwise GmbH,3.6,Senior Data Analyst - Power BI / Reporting / Analyse (m/w/d),Potsdam
Mehr-BB Entertainment,5.0,Data Analyst (m/w/d) Live Entertainment Branche,Köln
